system:index,analysis_scale_m,asset_id,expected_month_count,hotspot_publication_eligible,hotspot_use_class,l3_grid_spacing_m,pollutant,processing_branch,product_group,publication_role,stage2d_script_version,strict_period_complete,valid_month_count_aoi,year,.geo
1_11,7000,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_SO2_AOI_KRYVYI_RIH_2024_R01,12.0,0.0,DIAGNOSTIC_ONLY,1113.2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,ANNUAL_SPATIAL,DIAGNOSTIC_OR_SUPPLEMENT_ONLY,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,0.0,9.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_CO_AOI_KRYVYI_RIH_2019_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,CO,CO_DAILY_FIRST,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_CO_AOI_KRYVYI_RIH_2020_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,CO,CO_DAILY_FIRST,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_CO_AOI_KRYVYI_RIH_2021_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,CO,CO_DAILY_FIRST,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_CO_AOI_KRYVYI_RIH_2022_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,CO,CO_DAILY_FIRST,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_CO_AOI_KRYVYI_RIH_2023_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,CO,CO_DAILY_FIRST,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,1113.2,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_CO_AOI_KRYVYI_RIH_2024_R01,12.0,1.0,PUBLICATION_ELIGIBLE,1113.2,CO,CO_DAILY_FIRST,ANNUAL_SPATIAL,PUBLICATION_CANDIDATE_IF_STRICT_COMPLETE,ARTICLE4_STAGE2D_PUBLICATION_EXPORTS_ENGINE_R01,1.0,12.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,,,,,,,NO2,,LONG_TERM_CHANGE,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,,,,,,,NO2,,HOTSPOT_PERSISTENCE,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,,,,,,,CO,,LONG_TERM_CHANGE,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,,,,,,,CO,,HOTSPOT_PERSISTENCE,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,,,,,,,SO2,,LONG_TERM_CHANGE,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,,,,,,,SO2,,HOTSPOT_PERSISTENCE,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
